ENSO,year,maxswe,max_swe_date,SWE_at_SP_melt,SP_melt_start_date,SP_melt_end_date,melt rate,melt duration,n_mwme,precip_total,min_discharge_date,min_discharge,max_discharge_date,max_discharge,zero_SWE_date,max_SWE_date,mindate_meanwtemp,minval_meanwtemp,maxdate_meanwtemp,maxval_meanwtemp,TDJF,TMAM,PMAM,PDJF
neutral,1997,46.8,14-Apr,41.9,2-May,1-Jun,1.56,30,2,184.9,9/9/97 0:00,2.2,3/19/97 0:00,347,6/1/97 0:00,4/14/97 0:00,12/26/96 0:00,0.1,8/14/97 0:00,14.1,-0.713546,3.27971,1292.86,1785.62
warm,1998,27.4,11-Mar,23.6,15-Apr,5-May,1.37,20,3,107.5,9/14/98 0:00,2.2,12/16/97 0:00,359,5/5/98 0:00,3/11/98 0:00,1/11/98 0:00,-0.2,7/28/98 0:00,16,0.180864,4.084691,668.02,1155.7
cold,1999,53.2,10-Apr,46,6-May,17-Jun,1.27,42,2,147.1,10/4/99 0:00,3.1,12/29/98 0:00,1020,6/17/99 0:00,4/10/99 0:00,12/20/98 0:00,0,8/5/99 0:00,12.6,-1.389568,2.62663,774.7,1993.9
cold,2000,42,31-Mar,42,31-Mar,28-May,0.72,58,1,151.1,9/5/00 0:00,4.7,12/15/99 0:00,1000,5/29/00 0:00,3/29/00 0:00,1/30/00 0:00,0.7,8/5/00 0:00,14.1,0.0558,3.503623,848.36,1592.58
cold,2001,21.3,14-Apr,21.3,14-Apr,19-May,0.61,35,5,100.5,9/23/01 0:00,4.5,1/5/01 0:00,275,5/19/01 0:00,4/14/01 0:00,2/16/01 0:00,0.1,8/13/01 0:00,14.1,0.117284,3.833273,944.88,787.4
neutral,2002,59.4,30-Mar,50.9,9-May,18-Jun,1.49,40,5,164.3,11/4/02 0:00,4.2,2/22/02 0:00,806,6/18/02 0:00,3/30/02 0:00,3/20/02 0:00,0.1,8/29/02 0:00,12.9,-0.849136,2.203684,1285.24,1673.86
warm,2003,15.6,31-Dec,11,8-Apr,13-May,0.45,35,6,111.3,9/4/03 0:00,3.1,1/26/03 0:00,806,5/13/03 0:00,4/8/03 0:00,3/7/03 0:00,1.1,7/31/03 0:00,15.8,1.274444,3.382022,960.12,1117.6
neutral,2004,36,7-Mar,30.7,3-Apr,3-May,1.2,30,5,158.7,8/20/04 0:00,3.9,11/18/03 0:00,1220,5/3/04 0:00,3/7/04 0:00,1/5/04 0:00,0.1,7/24/04 0:00,15.7,0.282593,5.195411,774.7,1315.72
neutral,2005,8.1,13-Dec,5.6,18-Apr,27-Apr,0.9,9,7,127,9/28/05 0:00,2.96,1/18/05 0:00,1500,5/1/05 0:00,4/16/05 0:00,1/15/05 0:00,0,8/15/05 0:00,14.2,2.80037,6.209239,695.96,1056.64
neutral,2006,40.5,18-Apr,40.5,18-Apr,21-May,1.23,33,3,127.7,9/7/06 0:00,2.53,12/24/05 0:00,607,5/21/06 0:00,4/18/06 0:00,2/17/06 0:00,0,7/23/06 0:00,15.1,1.395391,5.176751,774.7,1539.24
warm,2007,32.7,1-Mar,22.5,19-Apr,12-May,1.42,23,4,152.3,9/14/07 0:00,6.26,11/6/06 0:00,1350,5/12/07 0:00,3/1/07 0:00,12/29/06 0:00,1.2,7/11/07 0:00,13.7,1.420679,5.133213,1099.82,1320.8
cold,2008,85.7,29-Apr,82.5,14-May,4-Jul,1.68,51,1,159.3,9/19/08 0:00,7.32,12/3/07 0:00,607,7/4/08 0:00,4/29/08 0:00,12/2/07 0:00,0,8/17/08 0:00,13,-0.231336,3.017521,1178.56,1803.4
cold,2009,64.3,18-Apr,61.3,2-May,8-Jun,1.74,37,1,160.4,9/2/09 0:00,3.19,1/7/09 0:00,1240,6/8/09 0:00,4/18/09 0:00,12/15/08 0:00,0,7/30/09 0:00,15.6,0.861173,3.441425,0,782.32
